,Unnamed: 0,state_id,county_name,zips,lat,lng,State,Area_Name,Rural-urban_Continuum Code_2013,POP_ESTIMATE_2016,R_birth_2016,R_death_2016,PCTPOV017_2016,Unemployment_rate_2016,Med_HH_Income_Percent_of_State_Total_2016,"Percent of adults with less than a high school diploma, 2012-2016","Percent of adults with a high school diploma only, 2012-2016","Percent of adults completing some college or associate's degree, 2012-2016","Percent of adults with a bachelor's degree or higher, 2012-2016",value_DRNKANY5,value__RFBING5,value__RFDRHV5,value__DRDXAR1,value_CHCCOPD1,value_ADDEPEV2,value_DIABETE3,value_CHCKIDNY,value_CHCOCNCR,value__CRCREC,value__COL10YR,value_MEDCOST,value_HLTHPLN1,value_CHECKUP1,value_PERSDOC2,value__HCVU651,value__RFHLTH,value_GENHLTH,value_HIVTST6,value__FLSHOT6,value__PNEUMO2,value__DRNKDRV,value__RFSEAT2,value__ALTETH2,value__DENVST2,value__EXTETH2,value__BMI5CAT,value__TOTINDA,value__RFPSA21,value__RFSMOK3,value__SMOKER3,value__MAM5021,PERC_POP_CHG_2016,PERC_POP_PC_2016,PERC_POP_MD_2016,PERC_POP_NP_2016,HPSA Prediction,countystate,display text
01001,18426.0,AL,Autauga,36066.0,32.4602,-86.4595,AL,Autauga County,2.0,55278.0,12.1,9.2,19.0,5.1,117.7,12.4,34.3,28.7,24.6,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,0.007959766995911574,1625.8235294117646,2211.12,6142.0,11.48,"Autauga County, AL","Autauga County, value: 11.5"
01003,18166.0,AL,Baldwin,36507.0,30.7257,-87.8602,AL,Baldwin County,3.0,207509.0,11.3,10.0,18.0,5.4,121.9,10.0,28.7,31.8,29.5,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,0.02238939033969611,1250.05421686747,2161.552083333333,2964.414285714285,11.982000000000001,"Baldwin County, AL","Baldwin County, value: 12.0"
01005,18175.0,AL,Barbour,36053.0,32.009,-85.311,AL,Barbour County,6.0,25774.0,10.5,10.3,40.0,8.4,71.0,26.2,34.9,26.0,12.9,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,-0.019011406844106463,2343.090909090909,3221.75,8591.333333333334,13.878,"Barbour County, AL","Barbour County, value: 13.9"
01007,18174.0,AL,Bibb,35042.0,32.9951,-87.2322,AL,Bibb County,1.0,22633.0,12.8,9.2,28.0,6.5,93.0,19.3,41.8,26.9,12.0,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,0.0031811955993460875,1508.8666666666666,3772.166666666666,2514.777777777778,12.112,"Bibb County, AL","Bibb County, value: 12.1"
01009,18152.0,AL,Blount,35031.0,34.0382,-86.4533,AL,Blount County,1.0,57562.0,11.7,11.5,19.0,5.4,102.0,20.0,32.9,34.0,13.1,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,-0.00048643202112504775,4111.571428571428,5756.2,14390.5,11.427999999999999,"Blount County, AL","Blount County, value: 11.4"
01011,18282.0,AL,Bullock,36029.0,32.1171,-85.9422,AL,Bullock County,6.0,10441.0,14.0,11.2,46.0,6.9,74.0,33.4,34.1,22.2,10.3,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,0.0021070778661047788,2610.25,5220.5,5220.5,14.564,"Bullock County, AL","Bullock County, value: 14.6"
01013,18288.0,AL,Butler,36033.0,31.7254,-86.7058,AL,Butler County,6.0,19965.0,11.8,13.3,37.0,6.9,76.5,18.9,39.9,25.1,16.1,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,-0.008815426997245178,1247.8125,1996.5,3327.5,12.642000000000001,"Butler County, AL","Butler County, value: 12.6"
01015,18155.0,AL,Calhoun,36271.0,33.7878,-86.0278,AL,Calhoun County,3.0,114980.0,11.7,12.6,26.0,6.6,90.2,17.7,32.1,32.6,17.7,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,-0.004566011480257436,1291.9101123595506,2211.153846153846,3107.567567567568,12.02,"Calhoun County, AL","Calhoun County, value: 12.0"
01017,18195.0,AL,Chambers,36863.0,32.8572,-85.2082,AL,Chambers County,6.0,33717.0,11.5,13.2,33.0,5.5,85.4,19.7,39.4,28.4,12.5,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,-0.0074443159237180066,2408.357142857143,3065.181818181818,11239.0,12.828,"Chambers County, AL","Chambers County, value: 12.8"
01019,18332.0,AL,Cherokee,35960.0,34.0862,-85.4619,AL,Cherokee County,6.0,25766.0,9.1,13.8,28.0,5.1,89.5,18.7,36.0,31.4,14.0,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,0.0009702708996351783,1171.1818181818182,2147.1666666666665,2576.6,12.054,"Cherokee County, AL","Cherokee County, value: 12.1"
01021,18168.0,AL,Chilton,36091.0,32.7499,-86.5114,AL,Chilton County,1.0,43830.0,11.9,10.6,26.0,5.5,95.4,19.9,41.3,24.0,14.9,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,0.0028291124800365053,3652.5,3984.5454545454545,43830.0,13.042,"Chilton County, AL","Chilton County, value: 13.0"
01023,18167.0,AL,Choctaw,36919.0,31.7678,-88.3258,AL,Choctaw County,9.0,13050.0,10.2,12.7,33.0,8.5,70.6,21.1,37.3,29.6,12.0,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,-0.013869731800766285,1864.2857142857144,2610.0,6525.0,13.324000000000002,"Choctaw County, AL","Choctaw County, value: 13.3"
01025,18267.0,AL,Clarke,36545.0,31.6296,-88.02,AL,Clarke County,7.0,24350.0,10.6,11.3,39.0,10.9,73.6,19.0,45.1,23.8,12.1,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,-0.014702258726899384,1159.5238095238094,2213.6363636363635,2435.0,13.312000000000001,"Clarke County, AL","Clarke County, value: 13.3"
01027,18151.0,AL,Clay,36258.0,33.447,-85.6746,AL,Clay County,9.0,13410.0,9.8,11.9,28.0,6.0,83.2,25.4,34.6,29.0,11.1,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,-0.0002982848620432513,1219.090909090909,1915.7142857142856,3352.5,12.44,"Clay County, AL","Clay County, value: 12.4"
01029,18249.0,AL,Cleburne,36273.0,33.5259,-85.339,AL,Cleburne County,8.0,14873.0,10.9,13.2,25.0,6.0,93.9,25.8,38.0,24.7,11.5,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,-0.003294560613191689,7436.5,14873.0,14873.0,12.796,"Cleburne County, AL","Cleburne County, value: 12.8"
01031,18458.0,AL,Coffee,36330.0,31.3276,-85.8459,AL,Coffee County,4.0,51217.0,12.8,9.4,21.0,5.9,105.0,14.9,29.3,32.1,23.7,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,0.004744518421617822,1280.425,2845.388888888889,2328.0454545454545,11.952,"Coffee County, AL","Coffee County, value: 12.0"
01033,18207.0,AL,Colbert,35660.0,34.7556,-87.7008,AL,Colbert County,3.0,54327.0,11.9,13.5,25.0,7.0,100.6,16.6,34.8,30.1,18.5,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,-0.0005706186610709222,687.6835443037975,1697.71875,1155.8936170212767,12.458,"Colbert County, AL","Colbert County, value: 12.5"
01035,18386.0,AL,Conecuh,36401.0,31.4379,-86.9584,AL,Conecuh County,7.0,12515.0,10.6,11.8,44.0,8.4,64.3,20.6,46.2,24.6,8.7,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,-0.013024370755093887,12515.0,1787.857142857143,12515.0,14.98,"Conecuh County, AL","Conecuh County, value: 15.0"
01037,18294.0,AL,Coosa,35072.0,33.0608,-86.0516,AL,Coosa County,8.0,10809.0,7.5,12.5,29.0,6.0,78.7,27.1,36.3,26.7,9.9,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,-0.010546766583402721,10809.0,10809.0,10809.0,13.568,"Coosa County, AL","Coosa County, value: 13.6"
01039,18190.0,AL,Covington,36420.0,31.2428,-86.46,AL,Covington County,6.0,37386.0,12.0,13.1,28.0,6.8,75.6,19.1,34.4,31.6,14.9,42.12,12.95,94.58,33.55,9.53,21.97,14.63,3.69,7.33,69.69,66.07,16.45,87.15,72.47,70.52,83.98,77.39,15.15,38.71,59.76,71.07,4.76,93.01,18.38,62.3,52.05,35.7,70.56,45.38,21.54,14.75,78.04,-0.004386668806505109,1010.4324324324324,2492.4,1699.3636363636365,12.308,"Covington County, AL","Covington County, value: 12.3"
