,Unnamed: 0,feature level,value,instance,county_fips,bar color,feature name,feature level2,dash text
0,0,14.00 < % poverty <= 19.00,-0.8411960628045135,0,1001.0,#6f679f,% poverty,medium,% poverty (medium)
1,2,population > 35478.00,-0.2741632445541948,0,1001.0,#6f679f,population,high,population (high)
2,3,1225.09 < # people per PC doctor <= 1953.17,-0.2700982741210799,0,1001.0,#6f679f,# people per PC doctor,medium,# people per PC doctor (medium)
3,4,"3515.14 < # people per PC doctor, NP only <= 6247.62",-0.2543113185518545,0,1001.0,#6f679f,# people per PC doctor,medium,# people per PC doctor (medium)
4,5,BMI Categories > 33.65,-0.2344564972324705,0,1001.0,#6f679f,BMI Categories,high,BMI Categories (high)
5,8,median income > 99.40,-0.18867459152757807,0,1001.0,#6f679f,median income,high,median income (high)
6,9,4.60 < unemployment rate <= 5.68,0.11383186893266148,0,1001.0,#ff9366,unemployment rate,medium,unemployment rate (medium)
7,7,"% adults, B.S. degree > 22.67",0.19208413587909745,0,1001.0,#ff9366,"% adults, B.S. degree",high,"% adults, B.S. degree (high)"
8,6,"31.60 < % adults, HS diploma only <= 35.80",0.20173636049548985,0,1001.0,#ff9366,"% adults, HS diploma only",medium,"% adults, HS diploma only (medium)"
9,1,PSA Test > 41.43,0.28034428166282976,0,1001.0,#ff9366,PSA Test,high,PSA Test (high)
10,0,14.00 < % poverty <= 19.00,-0.8629758574625543,1,1003.0,#6f679f,% poverty,medium,% poverty (medium)
11,1,population > 35478.00,-0.3654114555647313,1,1003.0,#6f679f,population,high,population (high)
12,2,1225.09 < # people per PC doctor <= 1953.17,-0.2681293629185605,1,1003.0,#6f679f,# people per PC doctor,medium,# people per PC doctor (medium)
13,5,BMI Categories > 33.65,-0.22273333694181413,1,1003.0,#6f679f,BMI Categories,high,BMI Categories (high)
14,7,median income > 99.40,-0.1738716894215361,1,1003.0,#6f679f,median income,high,median income (high)
15,8,Exercise <= 74.81,-0.14541957456163246,1,1003.0,#6f679f,Exercise,medium,Exercise (medium)
16,9,64.69 < USPSTF Recommendations <= 70.03,0.10563462371556924,1,1003.0,#ff9366,USPSTF Recommendations,medium,USPSTF Recommendations (medium)
17,6,"% adults, B.S. degree > 22.67",0.1969440041962614,1,1003.0,#ff9366,"% adults, B.S. degree",high,"% adults, B.S. degree (high)"
18,4,"% adults, HS diploma only <= 31.60",0.2484584258307632,1,1003.0,#ff9366,"% adults, HS diploma only",medium,"% adults, HS diploma only (medium)"
19,3,PSA Test > 41.43,0.26224813984101913,1,1003.0,#ff9366,PSA Test,high,PSA Test (high)
20,5,12790.50 < population <= 35478.00,-0.1945907613126096,2,1005.0,#6f679f,population,medium,population (medium)
21,6,BMI Categories > 33.65,-0.18211609412038995,2,1005.0,#6f679f,BMI Categories,high,BMI Categories (high)
22,7,"# people per PC doctor, NP only > 6247.62",-0.16879775924396764,2,1005.0,#6f679f,# people per PC doctor,high,# people per PC doctor (high)
23,9,Alcohol Consumption <= 50.42,-0.11625780593714467,2,1005.0,#6f679f,Alcohol Consumption,medium,Alcohol Consumption (medium)
24,8,"% adults, < HS diploma > 17.78",0.1527926159225065,2,1005.0,#ff9366,"% adults, < HS diploma",low,"% adults, < HS diploma (low)"
25,4,"31.60 < % adults, HS diploma only <= 35.80",0.20321885176708346,2,1005.0,#ff9366,"% adults, HS diploma only",medium,"% adults, HS diploma only (medium)"
26,3,median income <= 80.45,0.2311981766600517,2,1005.0,#ff9366,median income,medium,median income (medium)
27,2,PSA Test > 41.43,0.3282269072497335,2,1005.0,#ff9366,PSA Test,high,PSA Test (high)
28,1,unemployment rate > 5.68,0.5691835329947502,2,1005.0,#ff9366,unemployment rate,high,unemployment rate (high)
29,0,% poverty > 24.00,2.3820526499839256,2,1005.0,#ff9366,% poverty,high,% poverty (high)
30,2,"% adults, HS diploma only > 40.48",-0.5260001392513811,3,1007.0,#6f679f,"% adults, HS diploma only",high,"% adults, HS diploma only (high)"
31,4,1225.09 < # people per PC doctor <= 1953.17,-0.2528452515008948,3,1007.0,#6f679f,# people per PC doctor,medium,# people per PC doctor (medium)
32,5,12790.50 < population <= 35478.00,-0.22101298353512952,3,1007.0,#6f679f,population,medium,population (medium)
33,6,BMI Categories > 33.65,-0.19758082444377875,3,1007.0,#6f679f,BMI Categories,high,BMI Categories (high)
34,8,rural-urban code <= 3.00,-0.11220437328209366,3,1007.0,#6f679f,rural-urban code,medium,rural-urban code (medium)
35,9,Exercise <= 74.81,-0.0875158366620868,3,1007.0,#6f679f,Exercise,medium,Exercise (medium)
