,Unnamed: 0,feature level,value,instance,county_fips,bar color,feature name,feature level2,dash text
0,0,14.00 < % poverty <= 19.00,-0.8234685093048252,0,1001.0,#6f679f,% poverty,medium,% poverty (medium)
1,2,population > 35478.00,-0.30252849894769,0,1001.0,#6f679f,population,high,population (high)
2,3,3515.14 < # people per NP <= 6247.62,-0.2504293314935206,0,1001.0,#6f679f,# people per NP,medium,# people per NP (medium)
3,4,BMI Categories > 33.65,-0.21158048851942104,0,1001.0,#6f679f,BMI Categories,high,BMI Categories (high)
4,6,1225.09 < # people per PC <= 1953.17,-0.1511026123555334,0,1001.0,#6f679f,# people per PC,medium,# people per PC (medium)
5,8,median income > 99.40,-0.12498143514958693,0,1001.0,#6f679f,median income,high,median income (high)
6,9,Alcohol Consumption <= 50.42,-0.09979965961227806,0,1001.0,#6f679f,Alcohol Consumption,medium,Alcohol Consumption (medium)
7,7,Depression > 18.83,0.12850178703637466,0,1001.0,#ff9366,Depression,high,Depression (high)
8,5,"31.60 < % adults, HS diploma only <= 35.80",0.19265635053643396,0,1001.0,#ff9366,"% adults, HS diploma only",medium,"% adults, HS diploma only (medium)"
9,1,PSA Test > 41.43,0.32165256235793954,0,1001.0,#ff9366,PSA Test,high,PSA Test (high)
10,0,14.00 < % poverty <= 19.00,-0.8334577913022204,1,1003.0,#6f679f,% poverty,medium,% poverty (medium)
11,2,population > 35478.00,-0.3065640005330072,1,1003.0,#6f679f,population,high,population (high)
12,3,1225.09 < # people per PC <= 1953.17,-0.3002032711094892,1,1003.0,#6f679f,# people per PC,medium,# people per PC (medium)
13,5,BMI Categories > 33.65,-0.26442708639460866,1,1003.0,#6f679f,BMI Categories,high,BMI Categories (high)
14,7,COPD > 8.69,-0.10774194754085363,1,1003.0,#6f679f,COPD,high,COPD (high)
15,9,median income > 99.40,-0.09429085963989924,1,1003.0,#6f679f,median income,high,median income (high)
16,8,4.27 < Drink and Drive <= 4.86,0.10176980659727633,1,1003.0,#ff9366,Drink and Drive,medium,Drink and Drive (medium)
17,6,Depression > 18.83,0.17195007177103966,1,1003.0,#ff9366,Depression,high,Depression (high)
18,4,"% adults, HS diploma only <= 31.60",0.2908075838339009,1,1003.0,#ff9366,"% adults, HS diploma only",medium,"% adults, HS diploma only (medium)"
19,1,PSA Test > 41.43,0.34161088290042546,1,1003.0,#ff9366,PSA Test,high,PSA Test (high)
20,3,BMI Categories > 33.65,-0.2509700449919171,2,1005.0,#6f679f,BMI Categories,high,BMI Categories (high)
21,6,12790.50 < population <= 35478.00,-0.20541107668823985,2,1005.0,#6f679f,population,medium,population (medium)
22,8,# people per NP > 6247.62,-0.11782988926725176,2,1005.0,#6f679f,# people per NP,high,# people per NP (high)
23,9,Depression > 18.83,0.10776414341478943,2,1005.0,#ff9366,Depression,high,Depression (high)
24,7,"31.60 < % adults, HS diploma only <= 35.80",0.19507970011701334,2,1005.0,#ff9366,"% adults, HS diploma only",medium,"% adults, HS diploma only (medium)"
25,5,median income <= 80.45,0.2253302658957085,2,1005.0,#ff9366,median income,medium,median income (medium)
26,4,"% adults, < HS diploma > 17.78",0.2253925486128513,2,1005.0,#ff9366,"% adults, < HS diploma",low,"% adults, < HS diploma (low)"
27,2,PSA Test > 41.43,0.2683800276082874,2,1005.0,#ff9366,PSA Test,high,PSA Test (high)
28,1,unemployment rate > 5.68,0.5774948190976726,2,1005.0,#ff9366,unemployment rate,high,unemployment rate (high)
29,0,% poverty > 24.00,2.3352144942296578,2,1005.0,#ff9366,% poverty,high,% poverty (high)
30,2,"% adults, HS diploma only > 40.48",-0.4996057329463571,3,1007.0,#6f679f,"% adults, HS diploma only",high,"% adults, HS diploma only (high)"
31,4,1225.09 < # people per PC <= 1953.17,-0.2792950669498536,3,1007.0,#6f679f,# people per PC,medium,# people per PC (medium)
32,5,BMI Categories > 33.65,-0.26180131756603753,3,1007.0,#6f679f,BMI Categories,high,BMI Categories (high)
33,6,12790.50 < population <= 35478.00,-0.2537653151150785,3,1007.0,#6f679f,population,medium,population (medium)
